ms,Aax,Aay,Aaz,Agx,Agy,Agz,Bax,Bay,Baz,Bgx,Bgy,Bgz,Cax,Cay,Caz,Cgx,Cgy,Cgz,Dax,Day,Daz,Dgx,Dgy,Dgz,Eax,Eay,Eaz,Egx,Egy,Egz,Fax,Fay,Faz,Fgx,Fgy,Fgz,Gax,Gay,Gaz,Ggx,Ggy,Ggz,Hax,Hay,Haz,Hgx,Hgy,Hgz,Iax,Iay,Iaz,Igx,Igy,Igz,Jax,Jay,Jaz,Jgx,Jgy,Jgz,target
0,-0.9609375,0.129394531,0.301757813,-0.426829278,5.914634228,-5.243902206,-0.724121094,-0.541503906,-0.021972656,6.585365772,19.02439117,12.31707287,-0.516601563,-0.03515625,0.994628906,18.71951294,0.121951222,6.890244007,-0.86328125,0.602050781,-0.523925781,35.85365677,-14.32926846,-12.56097603,-0.166015625,0.407714844,0.604492188,-189.8780518,-70.9146347,-111.1585388,-0.984863281,0.007324219,0.05078125,-2.560975552,10.85365868,3.048780441,-0.385742188,-0.199707031,0.892089844,-5.548780441,4.024390221,2.865853548,-0.987304688,-0.181640625,-0.038574219,-3.292682886,6.829268456,0.426829278,-0.358886719,0.020996094,0.871582031,-2.134146452,1.768292665,-1.707317114,-0.933105469,0.083007813,-0.137695313,-0.243902445,5.060975552,-0.975609779,0
50,-0.989257813,0.120117188,0.31640625,2.865853548,-5.853658676,-3.597560883,-0.845214844,-0.546386719,0.052246094,-9.329268456,0.670731723,-2.926829338,-0.602539063,0.168457031,0.986328125,8.658536911,-11.09756088,10.30487823,-0.859863281,0.661621094,-0.463867188,3.475609779,-10.79268265,4.817073345,-0.217285156,0.369140625,0.668945313,-151.5853729,-19.93902397,-125.6097565,-1.045898438,-0.02734375,0.033691406,-2.560975552,-16.95121956,-7.378048897,-0.4453125,-0.213378906,0.89453125,0.182926834,3.780487776,2.439024448,-1.0078125,-0.180664063,-0.043945313,-2.743902445,4.817073345,0.975609779,-0.455078125,-0.032226563,0.903320313,-6.524390221,5.670731544,1.585365891,-1.004882813,0.079101563,-0.118164063,-1.158536553,8.658536911,-0.304878056,0
100,-0.9609375,0.129882813,0.37109375,4.146341324,-16.21951294,2.804877996,-0.915039063,-0.406738281,-0.003417969,-17.80487823,-10.91463375,-5.243902206,-0.489257813,-0.015136719,0.943847656,-81.89024353,-34.39024353,4.817073345,-0.927246094,0.564941406,-0.390136719,-40.67073059,-3.536585331,15.24390221,-0.360351563,0.331054688,0.783203125,1.158536553,40.9146347,-61.82926941,-0.974121094,-0.012695313,0.088378906,0.609756112,-9.939023972,2.378048897,-0.458496094,-0.1875,0.902832031,1.341463447,1.585365891,0.914634168,-1.01171875,-0.182128906,-0.048828125,-1.219512224,1.097561002,1.158536553,-0.479980469,-0.043457031,0.900878906,1.829268336,3.597560883,1.585365891,-1.012207031,0.0625,-0.126953125,-0.853658557,6.402439117,0,0
150,-0.905761719,0.152832031,0.433105469,10,-19.69512177,6.524390221,-0.922363281,-0.467773438,-0.021972656,-45.30487823,-7.256097794,0.731707335,-0.395019531,-0.165527344,0.863769531,-40.67073059,-34.63414764,26.8292675,-0.833496094,0.327148438,-0.353027344,-75.06097412,-1.890243888,5.365853786,-0.478515625,0.505859375,0.637207031,76.0975647,75.79268646,0,-1.007324219,-0.025878906,0.082519531,-0.975609779,0.48780489,1.585365891,-0.453125,-0.171875,0.881835938,0.243902445,0.426829278,0.48780489,-0.980957031,-0.176269531,-0.0625,-0.426829278,-3.536585331,0.426829278,-0.502441406,-0.017578125,0.857421875,-0.548780501,4.024390221,0.609756112,-0.979980469,0.069335938,-0.159667969,1.219512224,2.743902445,1.646341443,0
200,-0.84765625,0.19140625,0.418457031,10.97560978,-11.40243912,0.670731723,-0.854980469,-0.595703125,-0.0390625,-34.93902588,-5.670731544,-0.670731723,-0.240722656,-0.149414063,0.6171875,-24.63414574,-1.646341443,26.28048706,-0.821777344,0.252441406,-0.319824219,-60.36585236,5.731707096,-11.82926846,-0.560546875,1.221191406,0.87890625,-4.329268456,69.14633942,-19.20731735,-0.996582031,0.03125,0.102539063,4.146341324,-2.134146452,-2.01219511,-0.391601563,-0.187011719,0.896484375,0.914634168,1.219512224,-0.304878056,-0.978515625,-0.189453125,-0.047851563,-0.914634168,-1.219512224,0.853658557,-0.454589844,-0.057128906,0.865722656,2.560975552,5,0.853658557,-0.959472656,0.061035156,-0.163085938,2.073170662,1.524390221,2.804877996,0
250,-0.857421875,0.182128906,0.401855469,4.390244007,-1.402438998,-8.658536911,-0.852050781,-0.601074219,-0.041992188,-7.378048897,-4.024390221,-4.268292904,-0.232910156,-0.2265625,0.490722656,-69.81707001,50.67073059,2.621951103,-0.795898438,0.242675781,-0.356445313,9.512195587,-1.585365891,-11.34146309,-0.516601563,-0.124511719,1.163574219,-103.7195129,-8.963414192,-19.26829338,-1.009765625,0.045898438,0.125488281,0.060975611,-0.548780501,0.609756112,-0.399902344,-0.211914063,0.909667969,3.353658438,1.402438998,-0.182926834,-1.004882813,-0.193359375,-0.023925781,2.439024448,-0.121951222,2.804877996,-0.44921875,-0.038085938,0.916503906,6.768292904,6.829268456,-0.609756112,-1.018554688,0.062011719,-0.12109375,2.01219511,2.195122004,5.609755993,0
300,-0.890136719,0.178710938,0.396972656,-3.902439117,7.01219511,-8.292682648,-0.837890625,-0.561523438,-0.056640625,27.92682838,6.707316875,9.63414669,-0.946289063,-0.501464844,1.682617188,-196.8292694,-28.04878044,-7.804878235,-0.880371094,0.559570313,-0.388183594,25.60975647,3.658536673,-2.865853548,-0.427734375,0.197265625,0.89453125,2.743902445,-6.829268456,-7.01219511,-1.02734375,0.053710938,0.138671875,0.914634168,-6.585365772,0.48780489,-0.432617188,-0.22265625,0.920898438,8.536585808,2.926829338,-2.256097555,-1.036621094,-0.19921875,0.055664063,-17.37804794,-20.97560883,-3.353658438,-0.501464844,0.035644531,0.975585938,3.841463327,2.5,-0.914634168,-1.094238281,0.094238281,-0.077636719,1.158536553,-1.036585331,5.304878235,0
350,-0.918457031,0.150878906,0.407714844,-11.28048801,13.10975647,-3.658536673,-0.937988281,-0.343261719,-0.148925781,19.63414574,31.34146309,6.646341324,-0.307617188,-0.381347656,0.745605469,14.51219559,-2.743902445,17.01219559,-0.877929688,0.513183594,-0.335449219,-18.78048706,14.51219559,-4.878048897,-0.459472656,0.224609375,0.877441406,48.96341324,-10.24390221,-9.085366249,-0.987304688,0.033691406,0.127441406,1.707317114,-3.292682886,2.01219511,-0.400878906,-0.155273438,0.897949219,9.817072868,3.536585331,-5.426829338,-0.987792969,-0.198242188,-0.178710938,-29.87804794,11.21951199,3.353658438,-0.518066406,0.043457031,0.967773438,2.865853548,-2.560975552,-0.243902445,-1.153808594,0.145507813,0.050292969,11.09756088,-18.71951294,6.524390221,0
400,-0.8984375,0.10546875,0.38671875,-14.81707287,23.84146309,4.329268456,-0.849609375,-0.430175781,-0.0703125,-22.92682838,23.1707325,14.8780489,-0.479980469,-0.321777344,0.854003906,-18.71951294,-3.353658438,12.19512177,-0.848632813,0.4375,-0.322753906,-19.69512177,10.42682934,-5.304878235,-0.536621094,0.399414063,0.811035156,47.25609589,-0.975609779,-10.54878044,-0.991699219,0.00390625,0.139648438,5.914634228,-0.853658557,-0.48780489,-0.388671875,-0.197265625,0.858886719,3.719512224,5,-3.597560883,-0.957519531,-0.213378906,-0.118164063,3.902439117,17.19512177,4.268292904,-0.408203125,0.02734375,0.831542969,-9.146341324,-4.268292904,-4.573170662,-0.904785156,0.090332031,-0.267578125,-7.5,0.975609779,1.768292665,0
450,-0.913574219,0.095703125,0.360839844,-12.5,27.86585426,11.95121956,-0.847167969,-0.499023438,-0.019042969,-39.87804794,14.26829243,10.60975647,-0.524414063,-0.364257813,0.849609375,14.14634132,-2.926829338,11.28048801,-0.851074219,0.389160156,-0.276367188,-16.46341515,5.731707096,1.890243888,-0.516113281,0.519042969,0.761230469,7.317073345,7.317073345,-3.597560883,-0.97265625,0.020019531,0.090332031,2.926829338,7.256097794,-3.658536673,-0.400878906,-0.114257813,0.875,6.951219559,4.207316875,-3.109755993,-0.956054688,-0.16796875,-0.122558594,9.024390221,25.42682838,4.207316875,-0.416015625,-0.036621094,0.8359375,1.402438998,1.036585331,0.243902445,-0.908691406,0.086425781,-0.129882813,-6.768292904,9.39024353,4.024390221,0
