ms,Aax,Aay,Aaz,Agx,Agy,Agz,Bax,Bay,Baz,Bgx,Bgy,Bgz,Cax,Cay,Caz,Cgx,Cgy,Cgz,Dax,Day,Daz,Dgx,Dgy,Dgz,Eax,Eay,Eaz,Egx,Egy,Egz,Fax,Fay,Faz,Fgx,Fgy,Fgz,Gax,Gay,Gaz,Ggx,Ggy,Ggz,Hax,Hay,Haz,Hgx,Hgy,Hgz,Iax,Iay,Iaz,Igx,Igy,Igz,Jax,Jay,Jaz,Jgx,Jgy,Jgz,target
600,0.521972656,0.272460938,0.810546875,-0.48780489,2.073170662,-0.548780501,-0.151855469,-0.686035156,-0.719726563,-0.670731723,0.060975611,0.243902445,-0.033203125,-0.127441406,1.012207031,-0.48780489,0.060975611,-0.182926834,-0.149902344,0.627441406,-0.773925781,-2.378048897,-0.304878056,0.426829278,-0.056640625,-0.067871094,1.005859375,-0.975609779,0.731707335,-0.853658557,-0.053710938,0.013183594,1.025390625,-0.243902445,-0.731707335,-0.670731723,0.675292969,0.036621094,0.726074219,-0.426829278,0.548780501,0.548780501,-0.850097656,0.065429688,0.53515625,-1.158536553,0.121951222,0.060975611,0.546386719,-0.111328125,0.822265625,-1.585365891,0.060975611,0.853658557,-0.932128906,0.12109375,0.37109375,-1.036585331,0.060975611,-0.182926834,0
650,0.516601563,0.275878906,0.809082031,-0.609756112,1.768292665,-0.182926834,-0.151367188,-0.684570313,-0.71875,-0.426829278,0.121951222,0.182926834,-0.036132813,-0.130371094,1.006347656,-0.792682946,-0.060975611,-0.060975611,-0.148925781,0.624511719,-0.768066406,-1.341463447,-0.121951222,0.548780501,-0.063476563,-0.076660156,1.01171875,-1.646341443,0.365853667,-0.792682946,-0.053222656,0.015625,1.01953125,-0.975609779,-0.670731723,-0.48780489,0.673828125,0.0390625,0.7265625,-0.182926834,0.731707335,0.48780489,-0.853027344,0.063476563,0.532714844,-1.219512224,0,-0.060975611,0.545898438,-0.112792969,0.821777344,-1.524390221,0.182926834,0.853658557,-0.932617188,0.119628906,0.368652344,-0.914634168,0.243902445,-0.304878056,0
700,0.517089844,0.272460938,0.809570313,-1.219512224,1.097561002,-0.48780489,-0.152832031,-0.688476563,-0.720214844,-0.060975611,0.121951222,0.304878056,-0.033203125,-0.12890625,1.005859375,-0.243902445,0.182926834,-0.243902445,-0.151855469,0.629394531,-0.772949219,-0.792682946,0.182926834,0.670731723,-0.05859375,-0.068359375,1.006835938,-0.426829278,0.243902445,-0.792682946,-0.051757813,0.014160156,1.024414063,-0.48780489,-0.243902445,-0.426829278,0.676269531,0.040527344,0.727050781,-0.609756112,0.792682946,0.365853667,-0.853515625,0.0625,0.534179688,-1.158536553,-0.182926834,0.182926834,0.547851563,-0.113769531,0.82421875,-1.463414669,0.121951222,0.609756112,-0.932617188,0.120117188,0.368652344,-1.097561002,0,-0.121951222,0
750,0.5234375,0.267089844,0.810058594,-0.792682946,1.036585331,-0.48780489,-0.153808594,-0.687988281,-0.719726563,0,-0.060975611,0.243902445,-0.040527344,-0.131835938,1.009765625,-0.975609779,-0.060975611,-0.304878056,-0.151367188,0.625976563,-0.770019531,-1.341463447,-0.121951222,0.365853667,-0.059082031,-0.072265625,1.0078125,-1.707317114,0.548780501,-0.548780501,-0.050292969,0.017089844,1.023925781,-0.426829278,0.121951222,-0.548780501,0.67578125,0.038574219,0.725585938,-0.731707335,0.670731723,0.48780489,-0.852050781,0.062011719,0.535644531,-1.219512224,-0.060975611,0.182926834,0.545898438,-0.116699219,0.822265625,-1.158536553,0.060975611,0.609756112,-0.931640625,0.119140625,0.366699219,-0.975609779,0,-0.060975611,0
800,0.517089844,0.270019531,0.812988281,-0.304878056,1.036585331,-0.609756112,-0.154296875,-0.689453125,-0.718261719,-0.060975611,0.060975611,0.060975611,-0.034667969,-0.129882813,1.008789063,-0.365853667,0,-0.365853667,-0.150878906,0.627929688,-0.771484375,0.060975611,0.304878056,0.609756112,-0.057617188,-0.07421875,1.008789063,-0.060975611,0.060975611,-0.670731723,-0.055175781,0.013671875,1.018554688,0,-0.121951222,-0.609756112,0.674316406,0.036132813,0.725585938,-0.48780489,0.609756112,0.365853667,-0.8515625,0.061523438,0.53515625,-1.036585331,0,0.243902445,0.547363281,-0.112792969,0.8203125,-1.158536553,0.060975611,0.609756112,-0.931152344,0.117675781,0.369140625,-1.036585331,0,0.121951222,0
850,0.522460938,0.273925781,0.810546875,-0.243902445,1.036585331,-0.670731723,-0.152832031,-0.686523438,-0.71484375,-1.158536553,0.060975611,0.304878056,-0.036621094,-0.124511719,1.012695313,-0.914634168,0.121951222,-0.304878056,-0.1484375,0.628417969,-0.775390625,-1.524390221,-0.243902445,0.182926834,-0.059082031,-0.069824219,1.005859375,-0.975609779,0.975609779,-0.548780501,-0.05859375,0.012207031,1.037109375,-0.121951222,2.073170662,-0.670731723,0.677734375,0.03515625,0.726074219,0,0.914634168,0.48780489,-0.850097656,0.061035156,0.534179688,-0.853658557,0.182926834,0.426829278,0.546875,-0.115722656,0.820800781,-1.158536553,0,0.48780489,-0.932128906,0.118164063,0.368652344,-0.853658557,0.060975611,0.060975611,0
900,0.516113281,0.272949219,0.810546875,-0.304878056,1.341463447,-0.426829278,-0.152832031,-0.686035156,-0.721679688,-2.195122004,0.48780489,0.426829278,-0.034179688,-0.134277344,1.003417969,-1.463414669,-0.121951222,-0.060975611,-0.149902344,0.625,-0.770019531,-0.975609779,0.243902445,0.792682946,-0.063964844,-0.071289063,1.011230469,-0.792682946,0,-0.731707335,-0.065429688,0.021484375,1.008300781,-0.365853667,-1.097561002,-0.426829278,0.672851563,0.036132813,0.729492188,-0.304878056,0.853658557,0.304878056,-0.851074219,0.061523438,0.532226563,-0.792682946,0.060975611,0.365853667,0.545898438,-0.114746094,0.824707031,-1.219512224,0,0.548780501,-0.934082031,0.118652344,0.370117188,-0.853658557,0.182926834,0.182926834,0
950,0.514160156,0.28125,0.809082031,-0.548780501,1.524390221,0.182926834,-0.151855469,-0.685058594,-0.718261719,0,-0.121951222,0.243902445,-0.037597656,-0.127441406,1.01171875,0.609756112,0.243902445,-0.182926834,-0.150878906,0.625976563,-0.770996094,-1.158536553,-0.060975611,0.48780489,-0.061035156,-0.071289063,1.008789063,-1.585365891,0.48780489,-0.548780501,-0.040039063,0.015625,1.028320313,0.304878056,-0.243902445,-0.731707335,0.673828125,0.038574219,0.727539063,-0.365853667,0.792682946,0.182926834,-0.853027344,0.061523438,0.536621094,-0.853658557,-0.060975611,0.48780489,0.547363281,-0.112792969,0.824707031,-1.036585331,0.121951222,0.48780489,-0.930664063,0.118652344,0.368164063,-0.853658557,0.182926834,0.365853667,0
1000,0.520019531,0.274414063,0.808105469,-1.402438998,0.853658557,-0.853658557,-0.154296875,-0.687011719,-0.721679688,0,0.060975611,0.060975611,-0.034179688,-0.125488281,1.009277344,-1.036585331,0,-0.182926834,-0.148925781,0.625976563,-0.774414063,-0.365853667,0.060975611,0.48780489,-0.062011719,-0.079589844,1.013183594,-0.121951222,0.365853667,-0.670731723,-0.059570313,0.012207031,1.024414063,0.304878056,0.365853667,-0.243902445,0.674316406,0.040527344,0.725097656,-0.365853667,0.853658557,0.182926834,-0.851074219,0.06640625,0.53515625,-0.792682946,0,0.426829278,0.550292969,-0.111816406,0.820800781,-1.036585331,0.060975611,0.426829278,-0.931640625,0.118652344,0.368164063,-0.609756112,0,0.48780489,0
1050,0.525390625,0.264648438,0.8125,-0.548780501,1.158536553,-0.365853667,-0.153808594,-0.6875,-0.717285156,0.121951222,-0.548780501,0.609756112,-0.037109375,-0.130859375,1.011230469,-0.792682946,0.48780489,-0.243902445,-0.149414063,0.625976563,-0.774902344,-0.914634168,-0.121951222,0.426829278,-0.060546875,-0.061523438,1.009277344,-1.219512224,0.48780489,-0.609756112,-0.0546875,0.019042969,1.019042969,-0.548780501,0.060975611,-0.243902445,0.67578125,0.041015625,0.727050781,-0.365853667,0.731707335,0.304878056,-0.852539063,0.064453125,0.534667969,-0.914634168,0.060975611,0.243902445,0.545410156,-0.109863281,0.823730469,-0.975609779,-0.182926834,0.548780501,-0.93359375,0.120605469,0.37109375,-0.853658557,0.243902445,0.304878056,0
1100,0.521484375,0.271484375,0.809570313,0,1.524390221,-0.365853667,-0.153808594,-0.686035156,-0.717285156,-0.182926834,0.060975611,0.121951222,-0.038085938,-0.129394531,1.004882813,-0.670731723,-0.243902445,-0.365853667,-0.150878906,0.624023438,-0.769042969,-0.426829278,0.060975611,0.548780501,-0.061523438,-0.077636719,1.006347656,-0.548780501,0.121951222,-0.792682946,-0.059082031,0.019042969,1.024414063,-0.121951222,-0.060975611,-0.670731723,0.674804688,0.036621094,0.725585938,-0.182926834,0.792682946,0.426829278,-0.852050781,0.063476563,0.533203125,-0.975609779,0.121951222,0.182926834,0.548339844,-0.110839844,0.821777344,-1.280487776,0.060975611,0.48780489,-0.932128906,0.118652344,0.365722656,-0.975609779,0.243902445,0.426829278,0
1150,0.517578125,0.2734375,0.813476563,-0.121951222,1.524390221,-0.609756112,-0.153320313,-0.689941406,-0.720703125,-0.853658557,0.060975611,0.182926834,-0.037109375,-0.125488281,1.013671875,-0.853658557,0.182926834,-0.121951222,-0.150878906,0.625488281,-0.772460938,-1.158536553,0.182926834,0.548780501,-0.061035156,-0.065917969,1.008300781,-0.792682946,0.304878056,-0.670731723,-0.056640625,0.016601563,1.023925781,0.182926834,-0.243902445,-0.48780489,0.674316406,0.041015625,0.726074219,-0.243902445,0.792682946,0.426829278,-0.851074219,0.062011719,0.534667969,-1.036585331,0.121951222,0.304878056,0.544921875,-0.111816406,0.823242188,-1.158536553,0.121951222,0.48780489,-0.932128906,0.119628906,0.368652344,-0.792682946,0.182926834,0.243902445,0
1200,0.51953125,0.274414063,0.8125,-0.304878056,1.280487776,-0.243902445,-0.151367188,-0.688476563,-0.715820313,-1.097561002,0.121951222,0.243902445,-0.036621094,-0.131835938,1.010742188,-0.304878056,-0.060975611,-0.426829278,-0.151367188,0.626953125,-0.770507813,-0.975609779,0.121951222,0.731707335,-0.060546875,-0.074707031,1.006347656,-1.524390221,0.304878056,-0.548780501,-0.055664063,0.018066406,1.018066406,0.121951222,-0.243902445,-0.48780489,0.675292969,0.038574219,0.725097656,-0.48780489,0.609756112,0.304878056,-0.8515625,0.065429688,0.536132813,-1.158536553,0.121951222,0.304878056,0.546386719,-0.11328125,0.822265625,-1.036585331,0,0.548780501,-0.933105469,0.120605469,0.368652344,-0.853658557,0.121951222,0.060975611,0
1250,0.518066406,0.274414063,0.809082031,-0.48780489,1.036585331,-0.304878056,-0.154296875,-0.688476563,-0.71875,-0.609756112,0.121951222,0.243902445,-0.034667969,-0.125488281,1.002929688,-0.609756112,0.243902445,-0.304878056,-0.148925781,0.625976563,-0.774414063,-1.341463447,-0.182926834,0.48780489,-0.059082031,-0.0703125,1.006835938,-0.48780489,0.609756112,-0.609756112,-0.051757813,0.014648438,1.025390625,-0.060975611,-0.121951222,-0.48780489,0.67578125,0.041015625,0.725585938,-0.609756112,0.853658557,0.304878056,-0.8515625,0.064453125,0.535644531,-1.280487776,0.060975611,0.365853667,0.548828125,-0.110351563,0.821777344,-1.158536553,0,0.670731723,-0.931152344,0.118652344,0.366699219,-0.670731723,0.121951222,0.243902445,0
1300,0.522460938,0.270019531,0.810546875,-0.548780501,1.097561002,-0.365853667,-0.155273438,-0.685546875,-0.716796875,-1.402438998,0.182926834,0.304878056,-0.036132813,-0.128417969,1.008300781,-1.219512224,-0.182926834,-0.182926834,-0.151855469,0.626953125,-0.7734375,-1.158536553,0.121951222,0.548780501,-0.061035156,-0.072265625,1.008300781,-1.585365891,0.121951222,-0.670731723,-0.056640625,0.016113281,1.0234375,-0.121951222,0.365853667,-0.731707335,0.677246094,0.038574219,0.727539063,-0.609756112,0.853658557,0.243902445,-0.852050781,0.063964844,0.53515625,-1.036585331,0.121951222,0.182926834,0.547363281,-0.110351563,0.820800781,-1.280487776,0,0.548780501,-0.932128906,0.119628906,0.3671875,-0.731707335,0.121951222,-0.060975611,0
1350,0.5234375,0.273925781,0.808105469,-0.365853667,1.463414669,-0.121951222,-0.150390625,-0.688476563,-0.721191406,-0.670731723,0,0.243902445,-0.03515625,-0.131347656,1.006835938,-0.548780501,0.243902445,-0.182926834,-0.149902344,0.628417969,-0.769042969,-1.646341443,-0.243902445,0.48780489,-0.060546875,-0.069335938,1.0078125,-0.792682946,0.48780489,-0.792682946,-0.059082031,0.019042969,1.01953125,0,-0.548780501,-0.548780501,0.673339844,0.041015625,0.725585938,-0.426829278,0.609756112,0.426829278,-0.8515625,0.062988281,0.536132813,-1.036585331,0.060975611,0.182926834,0.544921875,-0.115234375,0.823730469,-1.341463447,0,0.609756112,-0.931640625,0.118164063,0.3671875,-0.975609779,0.304878056,0,0
1400,0.518066406,0.273925781,0.810058594,-0.48780489,1.402438998,-0.304878056,-0.154296875,-0.688476563,-0.716796875,-0.060975611,-0.182926834,0.365853667,-0.039550781,-0.125976563,1.01171875,-0.792682946,-0.060975611,-0.304878056,-0.151855469,0.626953125,-0.770996094,-0.731707335,0,0.48780489,-0.0625,-0.073242188,1.007324219,-1.097561002,0.426829278,-0.670731723,-0.061523438,0.016601563,1.0234375,0.121951222,-0.243902445,-0.48780489,0.673828125,0.040039063,0.728515625,-0.243902445,0.670731723,0.182926834,-0.852050781,0.062988281,0.535644531,-1.097561002,0.060975611,0.304878056,0.546875,-0.114257813,0.822265625,-1.219512224,0,0.548780501,-0.931640625,0.119628906,0.367675781,-0.792682946,0.060975611,0.060975611,0
1450,0.51953125,0.274414063,0.812988281,-0.670731723,0.975609779,-0.731707335,-0.154785156,-0.690429688,-0.718261719,-0.853658557,0.243902445,0.121951222,-0.033691406,-0.129882813,1.010253906,-0.48780489,0.060975611,-0.182926834,-0.150390625,0.627441406,-0.771972656,-0.426829278,0.121951222,0.243902445,-0.056640625,-0.066894531,1.008300781,-0.609756112,0.243902445,-0.670731723,-0.0546875,0.016601563,1.021972656,-0.365853667,-0.304878056,-0.48780489,0.675292969,0.0390625,0.725097656,-0.304878056,0.548780501,0.426829278,-0.852539063,0.062011719,0.536132813,-1.036585331,0,0.365853667,0.547363281,-0.115234375,0.823730469,-1.036585331,-0.121951222,0.548780501,-0.932617188,0.117675781,0.369140625,-0.731707335,-0.121951222,0.121951222,0
1500,0.522949219,0.270019531,0.810058594,-0.365853667,1.097561002,-0.548780501,-0.154785156,-0.688476563,-0.717773438,-0.48780489,-0.182926834,0.365853667,-0.036621094,-0.128417969,1.011230469,-0.792682946,0.243902445,-0.182926834,-0.149414063,0.626464844,-0.76953125,-1.097561002,-0.121951222,0.365853667,-0.060058594,-0.071777344,1.009765625,-1.341463447,0.609756112,-0.731707335,-0.059570313,0.019042969,1.021972656,-0.182926834,-0.243902445,-0.365853667,0.676757813,0.0390625,0.725585938,-0.609756112,0.792682946,0.304878056,-0.853027344,0.062988281,0.537109375,-0.853658557,0,0.243902445,0.547363281,-0.112304688,0.823730469,-1.158536553,0,0.48780489,-0.932128906,0.1171875,0.3671875,-0.914634168,0.243902445,0.243902445,0
1550,0.51953125,0.275390625,0.807617188,-0.426829278,1.280487776,-0.121951222,-0.155273438,-0.688476563,-0.717773438,-0.609756112,0.182926834,0.121951222,-0.036621094,-0.130859375,1.010253906,-0.609756112,-0.304878056,-0.182926834,-0.150878906,0.627441406,-0.770996094,-0.792682946,0.182926834,0.609756112,-0.060546875,-0.073730469,1.008300781,-0.609756112,0.365853667,-0.670731723,-0.056640625,0.015136719,1.02734375,0.182926834,0.365853667,-0.670731723,0.67578125,0.038085938,0.727050781,-0.365853667,0.792682946,0.365853667,-0.852050781,0.063476563,0.534667969,-1.097561002,0.060975611,0.304878056,0.545410156,-0.111816406,0.821777344,-1.097561002,0,0.670731723,-0.93359375,0.118164063,0.370117188,-0.914634168,0.182926834,0.243902445,0
1600,0.520019531,0.272949219,0.810546875,-0.670731723,0.914634168,-0.48780489,-0.155273438,-0.688476563,-0.716308594,0,-0.121951222,0.182926834,-0.038085938,-0.126953125,1.008300781,-0.548780501,0.182926834,-0.243902445,-0.151855469,0.625488281,-0.7734375,-0.975609779,-0.060975611,0.426829278,-0.060058594,-0.071289063,1.008300781,-1.219512224,0.48780489,-0.609756112,-0.049316406,0.017089844,1.022949219,0,0.48780489,-0.609756112,0.676757813,0.0390625,0.727539063,-0.365853667,0.670731723,0.304878056,-0.852539063,0.063964844,0.534667969,-0.975609779,0.121951222,0.304878056,0.548828125,-0.112304688,0.8203125,-1.158536553,0,0.548780501,-0.9296875,0.119628906,0.369628906,-0.670731723,0.182926834,0.182926834,0
1650,0.521484375,0.269042969,0.812988281,-0.48780489,1.158536553,-0.731707335,-0.153808594,-0.687988281,-0.715820313,-2.621951103,0.548780501,0.304878056,-0.038085938,-0.127441406,1.006835938,-1.707317114,-0.426829278,-0.243902445,-0.150878906,0.628417969,-0.76953125,-0.975609779,0.121951222,0.548780501,-0.0625,-0.069824219,1.0078125,-0.243902445,0.304878056,-0.975609779,-0.080078125,0.020507813,1.012207031,-0.48780489,-1.280487776,-0.060975611,0.673828125,0.040527344,0.725585938,-0.365853667,0.731707335,0.365853667,-0.852050781,0.064453125,0.533691406,-0.731707335,0.182926834,0.48780489,0.541503906,-0.112792969,0.823242188,-1.219512224,-0.060975611,0.426829278,-0.931640625,0.118164063,0.3671875,-0.792682946,0.365853667,0.304878056,0
