ms,Aax,Aay,Aaz,Agx,Agy,Agz,Bax,Bay,Baz,Bgx,Bgy,Bgz,Cax,Cay,Caz,Cgx,Cgy,Cgz,Dax,Day,Daz,Dgx,Dgy,Dgz,Eax,Eay,Eaz,Egx,Egy,Egz,Fax,Fay,Faz,Fgx,Fgy,Fgz,Gax,Gay,Gaz,Ggx,Ggy,Ggz,Hax,Hay,Haz,Hgx,Hgy,Hgz,Iax,Iay,Iaz,Igx,Igy,Igz,Jax,Jay,Jaz,Jgx,Jgy,Jgz,target
0,0.522949219,0.270019531,0.811035156,-0.853658557,1.097561002,-0.426829278,-0.153320313,-0.685546875,-0.720703125,-1.341463447,0.48780489,-0.121951222,-0.030761719,-0.135253906,1.010253906,-0.182926834,-0.182926834,-0.365853667,-0.147949219,0.624511719,-0.771972656,-1.158536553,0,0.48780489,-0.05859375,-0.074707031,1.009277344,-0.914634168,0.670731723,-0.609756112,-0.064453125,0.008300781,1.026855469,-0.060975611,-1.158536553,-0.548780501,0.674316406,0.040039063,0.725585938,-0.48780489,0.670731723,0,-0.852539063,0.064941406,0.533691406,-0.853658557,0.060975611,0.365853667,0.545898438,-0.110839844,0.820800781,-1.219512224,0.060975611,0.548780501,-0.930175781,0.124511719,0.3671875,-0.853658557,0.304878056,0.243902445,0
50,0.538085938,0.2734375,0.816894531,-0.243902445,-0.243902445,-0.243902445,-0.150878906,-0.687011719,-0.719726563,0.304878056,0,0.121951222,-0.040039063,-0.121582031,1.0078125,-0.365853667,0.121951222,-0.182926834,-0.15234375,0.623535156,-0.770996094,-0.792682946,-0.121951222,0.426829278,-0.064453125,-0.071289063,1.010253906,-0.914634168,0.243902445,-0.548780501,-0.056152344,0.01171875,1.010742188,0.304878056,-1.219512224,-0.548780501,0.676757813,0.040527344,0.726074219,-0.243902445,0.914634168,0.243902445,-0.852050781,0.062988281,0.534179688,-1.036585331,0.060975611,0.365853667,0.546386719,-0.110839844,0.821777344,-1.402438998,0.182926834,0.243902445,-0.933105469,0.120605469,0.368652344,-0.609756112,-0.060975611,0.243902445,0
100,0.533203125,0.277832031,0.8125,-0.243902445,3.963414669,-1.829268336,-0.150878906,-0.684082031,-0.716308594,-3.841463327,0.731707335,0.426829278,-0.034179688,-0.122070313,1.008300781,-1.951219559,-0.121951222,-0.365853667,-0.148925781,0.623046875,-0.771484375,-1.219512224,0,0.548780501,-0.05859375,-0.071289063,1.007324219,-0.914634168,0.243902445,-0.853658557,-0.077636719,0.013183594,1.024902344,-0.060975611,-2.073170662,-0.48780489,0.674316406,0.041503906,0.728027344,-0.121951222,0.609756112,0.365853667,-0.851074219,0.065429688,0.53515625,-0.914634168,0.060975611,0.365853667,0.54296875,-0.112304688,0.824707031,-0.914634168,0,0.548780501,-0.933105469,0.125,0.368652344,-0.792682946,0.060975611,0.121951222,0
150,0.515136719,0.276855469,0.806640625,0.060975611,-0.670731723,0.792682946,-0.151367188,-0.682617188,-0.722167969,-1.524390221,0.243902445,0.426829278,-0.035644531,-0.139648438,1.007324219,-0.060975611,0.182926834,-0.243902445,-0.151855469,0.625976563,-0.772460938,-1.829268336,-0.182926834,0.48780489,-0.061035156,-0.065917969,1.008300781,-0.914634168,0.609756112,-0.609756112,-0.060058594,0.020507813,1.018066406,-0.243902445,-2.621951103,-0.48780489,0.673339844,0.040039063,0.728515625,-0.426829278,0.792682946,0.48780489,-0.854003906,0.064453125,0.53125,-1.219512224,-0.060975611,0.182926834,0.546386719,-0.108886719,0.824707031,-1.097561002,0.121951222,0.426829278,-0.930664063,0.122558594,0.366699219,-0.975609779,0.243902445,0.182926834,0
200,0.537597656,0.280273438,0.808105469,-0.792682946,1.158536553,-0.48780489,-0.151855469,-0.684082031,-0.717773438,0.304878056,0.060975611,0,-0.034667969,-0.120117188,1.008789063,-0.426829278,-0.304878056,-0.182926834,-0.15234375,0.62109375,-0.771484375,0.365853667,0.182926834,0.48780489,-0.062011719,-0.077148438,1.010253906,-1.158536553,0.121951222,-0.426829278,-0.057128906,0.008300781,1.02734375,0.792682946,0.304878056,-0.304878056,0.676757813,0.039550781,0.7265625,-0.243902445,0.914634168,0.426829278,-0.850585938,0.064453125,0.534667969,-1.158536553,0,0.243902445,0.547851563,-0.106445313,0.821289063,-1.219512224,0.060975611,0.426829278,-0.933105469,0.118652344,0.367675781,-0.670731723,0.121951222,0.365853667,0
250,0.525878906,0.270996094,0.810546875,-0.975609779,0.365853667,-0.914634168,-0.151367188,-0.684570313,-0.723632813,-1.036585331,0,0.121951222,-0.031738281,-0.129882813,1.004882813,-1.341463447,0.060975611,-0.243902445,-0.1484375,0.623046875,-0.773925781,-0.670731723,-0.121951222,0.48780489,-0.05859375,-0.067382813,1.007324219,-0.48780489,0.365853667,-0.731707335,-0.065429688,0.018554688,1.012695313,-0.304878056,-2.804877996,-0.426829278,0.676269531,0.040039063,0.725585938,-0.670731723,0.670731723,0.426829278,-0.852050781,0.065917969,0.537597656,-0.731707335,-0.121951222,0.182926834,0.548339844,-0.107910156,0.822753906,-1.158536553,0,0.548780501,-0.93359375,0.122070313,0.368164063,-0.548780501,-0.060975611,0.304878056,0
300,0.530273438,0.270996094,0.805175781,-0.365853667,1.890243888,-0.48780489,-0.153808594,-0.684570313,-0.719238281,-0.182926834,-0.182926834,0.609756112,-0.0390625,-0.128417969,1.014648438,-0.731707335,-0.182926834,-0.121951222,-0.151367188,0.62109375,-0.775390625,-1.646341443,-0.365853667,0.48780489,-0.060546875,-0.076660156,1.006835938,-1.097561002,0.365853667,-0.731707335,-0.061035156,0.019042969,1.018554688,0.243902445,-2.560975552,-0.670731723,0.674804688,0.040527344,0.727050781,-0.48780489,0.670731723,0.304878056,-0.850097656,0.063964844,0.533691406,-1.036585331,0,0.304878056,0.546386719,-0.110351563,0.823242188,-1.219512224,-0.243902445,0.48780489,-0.929199219,0.123535156,0.369628906,-1.097561002,0.182926834,0.182926834,0
350,0.515625,0.276855469,0.810058594,-0.548780501,2.256097555,-0.609756112,-0.153320313,-0.686035156,-0.720214844,-0.48780489,-0.060975611,0.060975611,-0.03515625,-0.127441406,1.002929688,-1.341463447,0,-0.304878056,-0.150390625,0.624023438,-0.772460938,-1.829268336,-0.182926834,0.670731723,-0.061523438,-0.067382813,1.010253906,-1.097561002,0.365853667,-0.792682946,-0.064941406,0.0234375,1.013183594,1.280487776,-6.341463566,-0.914634168,0.671875,0.0390625,0.725585938,0,0.731707335,0.609756112,-0.8515625,0.062988281,0.533691406,-0.914634168,0.182926834,0.365853667,0.547363281,-0.106445313,0.825683594,-1.219512224,-0.060975611,0.670731723,-0.933105469,0.119140625,0.367675781,-0.914634168,0.121951222,0,0
400,0.512207031,0.274414063,0.811035156,-0.731707335,1.646341443,-0.548780501,-0.152832031,-0.687011719,-0.721191406,-0.365853667,-0.182926834,0.548780501,-0.034667969,-0.126464844,1.014648438,-1.097561002,0.182926834,-0.365853667,-0.149414063,0.625,-0.772949219,-1.707317114,-0.243902445,0.548780501,-0.063476563,-0.073242188,1.009277344,-1.219512224,0.304878056,-0.731707335,-0.05078125,0.024414063,1.02734375,2.378048897,-2.865853548,-1.524390221,0.670898438,0.039550781,0.728515625,-0.304878056,0.792682946,0.182926834,-0.854003906,0.064453125,0.533203125,-1.036585331,-0.060975611,0.365853667,0.544433594,-0.108398438,0.82421875,-1.402438998,0,0.731707335,-0.932128906,0.120605469,0.369140625,-0.792682946,0.243902445,0,0
450,0.514648438,0.276855469,0.810058594,-0.853658557,0.670731723,0.060975611,-0.150390625,-0.685546875,-0.719238281,-0.548780501,0.243902445,0,-0.038574219,-0.131835938,1.007324219,-0.426829278,-0.060975611,0,-0.153320313,0.627441406,-0.774414063,-1.463414669,0.182926834,0.670731723,-0.060058594,-0.071777344,1.0078125,-1.219512224,0.060975611,-0.853658557,-0.052246094,0.010253906,1.022949219,0.243902445,-1.402438998,-1.219512224,0.67578125,0.044433594,0.728027344,-0.426829278,0.914634168,0.48780489,-0.852050781,0.065917969,0.533691406,-1.463414669,-0.060975611,0.304878056,0.547851563,-0.112792969,0.821289063,-1.402438998,0.304878056,0.792682946,-0.932617188,0.122558594,0.366699219,-1.036585331,0.121951222,0.060975611,0
500,0.527832031,0.271972656,0.80859375,-0.792682946,0.792682946,-0.121951222,-0.153320313,-0.685546875,-0.720214844,-0.182926834,-0.243902445,0.48780489,-0.034179688,-0.120117188,1.01171875,-0.975609779,0.243902445,-0.243902445,-0.15234375,0.626464844,-0.770507813,-1.646341443,-0.182926834,0.548780501,-0.060058594,-0.076171875,1.009765625,-1.707317114,0.48780489,-0.731707335,-0.048828125,0.011230469,1.0234375,-1.402438998,-0.365853667,-0.853658557,0.675292969,0.042480469,0.7265625,-0.731707335,0.670731723,0.548780501,-0.850097656,0.066894531,0.53515625,-1.158536553,0,-0.121951222,0.549316406,-0.109863281,0.824707031,-1.158536553,0.121951222,0.670731723,-0.932617188,0.12109375,0.370605469,-0.914634168,0,0,0
550,0.52734375,0.271972656,0.807128906,-0.670731723,1.585365891,-0.426829278,-0.153808594,-0.686035156,-0.71875,-0.670731723,-0.121951222,0.365853667,-0.039550781,-0.1328125,1.011230469,-1.097561002,0.060975611,-0.243902445,-0.149414063,0.625,-0.770507813,-0.243902445,0.304878056,0.853658557,-0.061523438,-0.075683594,1.006347656,0.304878056,0.243902445,-0.914634168,-0.059082031,0.020507813,1.027832031,0.670731723,-0.609756112,-0.792682946,0.674804688,0.038085938,0.727050781,-0.792682946,0.548780501,0.548780501,-0.8515625,0.064453125,0.53515625,-1.280487776,0.243902445,0,0.551269531,-0.109375,0.822753906,-1.402438998,0,0.853658557,-0.931640625,0.12109375,0.367675781,-0.731707335,0.060975611,0,0
